pin_name	x	y
soc_894	877.99572	6889.42254
soc_896	1191.59572	6889.42254
soc_951	1191.59572	3366.0501
soc_953	877.99572	3366.0501
soc_955	1034.79572	3204.60882
soc_959	1191.59572	3043.16754
soc_961	877.99572	3043.16754
soc_964	1034.79572	2881.72626
soc_967	1191.59572	2720.28498
soc_969	877.99572	2720.28498
soc_972	1034.79572	2558.8437
soc_975	1191.59572	2397.40242
soc_977	877.99572	2397.40242
soc_980	1034.79572	2235.96114
soc_983	1191.59572	2074.51986
soc_985	877.99572	2074.51986
soc_988	1034.79572	1913.07858
soc_991	1191.59572	1751.6373
soc_993	877.99572	1751.6373
soc_996	1034.79572	1590.19602
soc_999	1191.59572	1428.75474
soc_1001	877.99572	1428.75474
soc_1004	1034.79572	1267.31346
soc_1007	1191.59572	1105.87218
soc_1009	877.99572	1105.87218
soc_1012	1034.79572	944.4309
soc_1015	1191.59572	782.98962
soc_1017	877.99572	782.98962
soc_1020	1034.79572	621.54834
soc_1023	1191.59572	460.10706
soc_1025	877.99572	460.10706
soc_1028	1034.79572	298.66578
soc_804	407.59572	7050.86382
soc_816	407.59572	3822.03822
soc_825	407.59572	4144.92078
soc_833	407.59572	4467.80334
soc_841	407.59572	4790.6859
soc_849	407.59572	5113.56846
soc_857	407.59572	5436.45102
soc_865	407.59572	5759.33358
soc_873	407.59572	6082.21614
soc_881	407.59572	6405.0987
soc_889	407.59572	6727.98126
soc_957	407.59572	3204.60882
soc_958	93.99572	3204.60882
soc_966	407.59572	2881.72626
soc_974	407.59572	2558.8437
soc_982	407.59572	2235.96114
soc_990	407.59572	1913.07858
soc_998	407.59572	1590.19602
soc_1006	407.59572	1267.31346
soc_1014	407.59572	944.4309
soc_1022	407.59572	621.54834
soc_1030	407.59572	298.66578
soc_563	250.79572	3660.59694
soc_545	250.79572	3822.03822
soc_658	3386.79572	2237.59872
soc_721	3700.39572	1268.95104
soc_807	1348.39572	2721.92256
soc_806	1505.19572	2399.04
soc_805	1348.39572	2399.04
soc_808	1505.19572	2721.92256
soc_409	3700.39572	4496.13906
soc_469	3700.39572	4011.81522
soc_529	3700.39572	3527.49138
soc_580	3700.39572	3044.80512
soc_626	3700.39572	2560.48128
soc_672	3700.39572	2076.15744
soc_709	3700.39572	1591.8336
soc_727	3700.39572	1107.50976
soc_742	3700.39572	623.18592
soc_760	3386.79572	300.30336
soc_597	3543.59572	2883.36384
soc_598	3386.79572	2883.36384
soc_613	3543.59572	2721.92256
soc_614	3386.79572	2721.92256
soc_596	3700.39572	2883.36384
soc_511	3386.79572	3688.93266
soc_548	3386.79572	3366.0501
soc_546	3700.39572	3366.04912
soc_547	3543.59572	3366.0501
soc_510	3543.59572	3688.93266
soc_750	3073.19572	461.74464
soc_757	3229.99572	138.86208
soc_759	2916.39572	138.86208
soc_755	2916.39572	300.30336
soc_754	3073.19572	300.30336
soc_490	3543.59572	3850.37394
soc_489	3700.39572	3850.37296
soc_451	3386.79572	4173.2565
soc_491	3386.79572	3850.37394
soc_389	3700.39572	4657.58034
soc_390	3543.59572	4657.58034
soc_391	3386.79572	4657.58034
soc_431	3386.79572	4334.69778
soc_566	3386.79572	3206.2464
soc_564	3700.39572	3206.2464
soc_565	3543.59572	3206.2464
soc_509	3700.39572	3688.93266
soc_430	3543.59572	4334.69778
soc_429	3700.39572	4334.6968
soc_449	3700.39572	4173.2565
soc_450	3543.59572	4173.2565
soc_146	1890.41216	1391.31972
soc_132	2091.32	322.66304
soc_131	1926.68	322.66304
soc_134	1487.64	423.10128
soc_127	1487.64	138.83856
soc_135	1762.04	423.10128
soc_128	1762.04	138.83856
soc_138	2255.96	423.10128
soc_129	2255.96	138.83856
soc_133	2530.36	423.10128
soc_130	2530.36	138.83856
soc_140	1364.0326	1170.4434
soc_144	1364.0326	1391.31972
soc_141	1638.4326	1170.4434
soc_145	1638.4326	1391.31972
soc_142	2379.5674	1170.4434
soc_147	2379.5674	1391.31972
soc_143	2653.9674	1170.4434
soc_148	2653.9674	1391.31972
soc_139	2091.32	648.02304
soc_758	3073.19572	138.86208
soc_1	1348.39572	1914.70048
soc_1033	1491.74424	1993.10048
soc_1034	1348.39572	2071.50048
soc_1031	1348.39572	2228.30048
soc_1032	1491.74424	2149.90048
soc_739	3543.59572	784.6272
soc_722	3543.59572	1268.95104
soc_723	3386.79572	1268.95104
soc_715	3700.39572	1430.39134
soc_716	3543.59572	1430.39232
soc_717	3386.79572	1430.39232
soc_687	3700.39572	1914.71518
soc_738	3700.39572	784.6272
soc_137	2091.32	485.34304
soc_136	1926.68	485.34304
soc_689	3386.79572	1914.71616
soc_705	3386.79572	1753.27488
soc_704	3543.59572	1753.27488
soc_703	3700.39572	1753.27488
soc_612	3700.39572	2721.92256
soc_640	3700.39572	2399.03902
soc_641	3543.59572	2399.04
soc_642	3386.79572	2399.04
soc_657	3543.59572	2237.59872
soc_656	3700.39572	2237.59872
soc_688	3543.59572	1914.71616
soc_903	2535.32762	1508.35132
soc_907	1757.07238	1508.35132
soc_910	2260.92762	1508.35132
soc_912	2009	1508.35132
soc_913	1482.67238	1508.35132
soc_918	2528.89	1055.2787
soc_921	1763.51	1055.2787
soc_922	1489.11	1055.2787
soc_925	2254.49	1055.2787
soc_935	2528.89	626.35426
soc_937	2254.49	626.35426
soc_938	1926.68	648.02304
soc_939	1763.51	626.35426
soc_940	1489.11	626.35426
soc_929	2528.89	828.20192
soc_930	2254.49	828.20192
soc_931	1763.51	828.20192
soc_933	1489.11	828.20192
soc_945	2663.64	238.3948
soc_946	2389.24	238.3948
soc_947	1628.76	238.3948
soc_948	1354.36	238.3948
soc_949	2091.32	159.98304
soc_914	2528.89	1280.88156
soc_915	2254.49	1280.88156
soc_916	1763.51	1280.88156
soc_917	1489.11	1280.88156
soc_911	2127.58392	1391.31972
soc_919	2091.32	1058.41176
soc_920	1926.68	1058.41176
soc_923	2663.64	943.42052
soc_924	2389.24	943.42052
soc_926	1628.76	943.42052
soc_927	1354.36	943.42052
soc_928	2663.64	727.2286
soc_932	1628.76	727.2286
soc_934	1354.36	727.2286
soc_936	2389.24	727.2286
soc_941	2663.64	525.43582
soc_942	2389.24	525.43582
soc_943	1628.76	525.43582
soc_944	1354.36	525.43582
soc_950	1926.68	159.98304
soc_732	1348.39572	2560.48226
soc_731	1505.19572	2560.48226
soc_748	3386.79572	461.74464
soc_747	3543.59572	461.74464
soc_746	3700.39572	461.74464
soc_751	3700.39572	300.30336
soc_761	3386.79572	138.86208
soc_756	3543.59572	138.86208
soc_176	2602.79572	6433.43442
soc_3	3543.59572	7079.19954
soc_5	3229.99572	7079.19954
soc_7	2916.39572	7079.19954
soc_9	2602.79572	7079.19954
soc_11	2289.19572	7079.19954
soc_13	1975.59572	7079.19954
soc_15	1661.99572	7079.19954
soc_17	1348.39572	7079.19954
soc_18	3700.39572	6917.75826
soc_20	3386.79572	6917.75826
soc_22	3073.19572	6917.75826
soc_24	2759.59572	6917.75826
soc_26	2445.99572	6917.75826
soc_28	2132.39572	6917.75826
soc_30	1818.79572	6917.75826
soc_32	1505.19572	6917.75826
soc_35	1034.79572	7212.3051
soc_37	721.19572	7212.3051
soc_39	407.59572	7212.3051
soc_41	1191.59572	137.2245
soc_43	877.99572	137.2245
soc_45	564.39572	137.2245
soc_47	250.79572	137.2245
soc_149	3700.39572	6594.8757
soc_151	3386.79572	6594.8757
soc_153	3073.19572	6594.8757
soc_155	2759.59572	6594.8757
soc_157	2445.99572	6594.8757
soc_159	2132.39572	6594.8757
soc_161	1818.79572	6594.8757
soc_163	1505.19572	6594.8757
soc_170	3543.59572	6433.43442
soc_172	3229.99572	6433.43442
soc_174	2916.39572	6433.43442
soc_178	2289.19572	6433.43442
soc_180	1975.59572	6433.43442
soc_182	1661.99572	6433.43442
soc_184	1348.39572	6433.43442
soc_189	3700.39572	6271.99314
soc_191	3386.79572	6271.99314
soc_193	3073.19572	6271.99314
soc_195	2759.59572	6271.99314
soc_197	2445.99572	6271.99314
soc_199	2132.39572	6271.99314
soc_201	1818.79572	6271.99314
soc_203	1505.19572	6271.99314
soc_210	3543.59572	6110.55186
soc_212	3229.99572	6110.55186
soc_214	2916.39572	6110.55186
soc_216	2602.79572	6110.55186
soc_218	2289.19572	6110.55186
