Frequency_GHz,S21_Magnitude_dB,S21_Phase_deg
1.522331,-0.0011,-1.4636
1.530338,-0.0011,-1.4713
1.538345,-0.0011,-1.479
1.546352,-0.0011,-1.4867
1.554359,-0.0011,-1.4944
1.562366,-0.0011,-1.5021
1.570373,-0.0012,-1.5098
1.57838,-0.0012,-1.5175
1.586387,-0.0012,-1.5252
1.594394,-0.0012,-1.5329
1.602401,-0.0012,-1.5406
1.610408,-0.0012,-1.5483
1.618415,-0.0012,-1.556
1.626422,-0.0012,-1.5636
1.634429,-0.0012,-1.5713
1.642436,-0.0013,-1.579
1.650443,-0.0013,-1.5867
1.65845,-0.0013,-1.5944
1.666457,-0.0013,-1.6021
1.674464,-0.0013,-1.6098
1.682471,-0.0013,-1.6175
1.690478,-0.0013,-1.6252
1.698485,-0.0013,-1.6329
1.706492,-0.0014,-1.6406
1.714499,-0.0014,-1.6483
1.722507,-0.0014,-1.656
1.730514,-0.0014,-1.6637
1.738521,-0.0014,-1.6714
1.746528,-0.0014,-1.6791
1.754535,-0.0014,-1.6868
1.762542,-0.0015,-1.6945
1.770549,-0.0015,-1.7022
1.778556,-0.0015,-1.7099
1.786563,-0.0015,-1.7176
1.79457,-0.0015,-1.7253
1.802577,-0.0015,-1.733
1.810584,-0.0015,-1.7407
1.818591,-0.0015,-1.7483
1.826598,-0.0016,-1.756
1.834605,-0.0016,-1.7637
1.842612,-0.0016,-1.7714
1.850619,-0.0016,-1.7791
1.858626,-0.0016,-1.7868
1.866633,-0.0016,-1.7945
1.87464,-0.0016,-1.8022
1.882647,-0.0017,-1.8099
1.890654,-0.0017,-1.8176
1.898661,-0.0017,-1.8253
1.906668,-0.0017,-1.833
1.914675,-0.0017,-1.8407
1.922682,-0.0017,-1.8484
1.930689,-0.0017,-1.8561
1.938696,-0.0018,-1.8638
1.946703,-0.0018,-1.8715
1.95471,-0.0018,-1.8792
1.962717,-0.0018,-1.8869
1.970724,-0.0018,-1.8946
1.978731,-0.0018,-1.9023
1.986738,-0.0018,-1.91
1.994745,-0.0019,-1.9176
2.002752,-0.0019,-1.9253
2.010759,-0.0019,-1.933
2.018766,-0.0019,-1.9407
2.026773,-0.0019,-1.9484
2.03478,-0.0019,-1.9561
2.042787,-0.0019,-1.9638
2.050794,-0.002,-1.9715
