Frequency_GHz,S11_Magnitude_dB,S11_Phase_deg
0.001,-99.6807,-90.001
0.009007,-80.5891,-90.0087
0.017014,-75.0646,-90.0164
0.025021,-71.7146,-90.0241
0.033028,-69.3031,-90.0318
0.041035,-67.4176,-90.0395
0.049042,-65.8694,-90.0472
0.057049,-64.5558,-90.0549
0.065056,-63.415,-90.0626
0.073063,-62.4068,-90.0703
0.08107,-61.5035,-90.0779
0.089077,-60.6854,-90.0856
0.097084,-59.9378,-90.0933
0.105091,-59.2494,-90.101
0.113098,-58.6116,-90.1087
0.121105,-58.0175,-90.1164
0.129112,-57.4614,-90.1241
0.137119,-56.9388,-90.1318
0.145126,-56.4458,-90.1395
0.153133,-55.9794,-90.1472
0.16114,-55.5367,-90.1549
0.169147,-55.1155,-90.1626
0.177154,-54.7137,-90.1703
0.185161,-54.3298,-90.178
0.193168,-53.962,-90.1857
0.201175,-53.6093,-90.1934
0.209182,-53.2703,-90.2011
0.217189,-52.944,-90.2088
0.225196,-52.6296,-90.2165
0.233203,-52.3261,-90.2242
0.24121,-52.0329,-90.2319
0.249217,-51.7492,-90.2396
0.257224,-51.4746,-90.2473
0.265231,-51.2083,-90.255
0.273238,-50.95,-90.2627
0.281245,-50.6991,-90.2704
0.289252,-50.4553,-90.2781
0.297259,-50.2181,-90.2858
0.305266,-49.9872,-90.2935
0.313273,-49.7624,-90.3012
0.32128,-49.5431,-90.3089
0.329287,-49.3293,-90.3166
0.337294,-49.1207,-90.3243
0.345301,-48.9169,-90.332
0.353308,-48.7178,-90.3397
0.361315,-48.5231,-90.3474
0.369322,-48.3327,-90.3551
0.377329,-48.1465,-90.3628
0.385336,-47.9641,-90.3705
0.393343,-47.7854,-90.3782
0.40135,-47.6104,-90.3859
0.409357,-47.4388,-90.3936
0.417364,-47.2706,-90.4013
0.425371,-47.1055,-90.409
0.433378,-46.9436,-90.4167
0.441385,-46.7846,-90.4244
0.449392,-46.6284,-90.4321
0.457399,-46.475,-90.4398
0.465406,-46.3243,-90.4475
0.473413,-46.1761,-90.4552
0.48142,-46.0305,-90.4629
0.489427,-45.8872,-90.4706
0.497434,-45.7462,-90.4783
0.505441,-45.6076,-90.486
0.513448,-45.471,-90.4937
0.521455,-45.3366,-90.5014
0.529462,-45.2043,-90.5091
0.537469,-45.0739,-90.5168
0.545476,-44.9455,-90.5245
0.553483,-44.8189,-90.5322
0.56149,-44.6942,-90.5399
0.569497,-44.5712,-90.5476
0.577505,-44.4499,-90.5553
0.585512,-44.3303,-90.563
0.593519,-44.2124,-90.5707
0.601526,-44.096,-90.5784
0.609533,-43.9811,-90.5861
0.61754,-43.8678,-90.5938
0.625547,-43.7559,-90.6015
0.633554,-43.6454,-90.6092
0.641561,-43.5364,-90.6169
0.649568,-43.4286,-90.6246
0.657575,-43.3222,-90.6323
0.665582,-43.2171,-90.64
0.673589,-43.1133,-90.6476
0.681596,-43.0106,-90.6553
0.689603,-42.9092,-90.663
0.69761,-42.8089,-90.6707
0.705617,-42.7098,-90.6784
0.713624,-42.6118,-90.6861
0.721631,-42.5149,-90.6938
0.729638,-42.4191,-90.7015
0.737645,-42.3243,-90.7092
0.745652,-42.2305,-90.7169
0.753659,-42.1378,-90.7246
0.761666,-42.046,-90.7323
0.769673,-41.9552,-90.74
0.77768,-41.8653,-90.7477
0.785687,-41.7763,-90.7554
0.793694,-41.6883,-90.7631
0.801701,-41.6011,-90.7708
0.809708,-41.5148,-90.7785
0.817715,-41.4293,-90.7862
0.825722,-41.3447,-90.7939
0.833729,-41.2609,-90.8016
0.841736,-41.1779,-90.8093
0.849743,-41.0957,-90.817
0.85775,-41.0142,-90.8247
0.865757,-40.9335,-90.8324
0.873764,-40.8536,-90.8401
0.881771,-40.7744,-90.8478
0.889778,-40.6959,-90.8555
0.897785,-40.6181,-90.8632
0.905792,-40.5409,-90.8709
0.913799,-40.4645,-90.8786
0.921806,-40.3888,-90.8863
0.929813,-40.3136,-90.894
0.93782,-40.2392,-90.9017
0.945827,-40.1654,-90.9094
0.953834,-40.0921,-90.9171
0.961841,-40.0196,-90.9248
0.969848,-39.9476,-90.9325
0.977855,-39.8762,-90.9402
0.985862,-39.8053,-90.9479
0.993869,-39.7351,-90.9556
1.001876,-39.6654,-90.9633
1.009883,-39.5963,-90.971
